استان,شهر,longitude,latitude
سیستان و بلوچستان,زاهدان,60.83,29.5
كرمان,زرند,56.58,30.8
زنجان,زرین آباد,48.28,36.43
اصفهان,زرینشهر,51.59,32.45
زنجان,زنجان,48.5,36.67
مازندران,ساری,53.1,36.55
مركزی,ساوه,50.33,35.02
خراسان رضوی,سبزوار,57.63,36.22
فارس,سپیدان,52.02,30.27
کرمانشاه,سر پل ذهاب,45.85,34.47
آذربايجان شرقي,سراب,47.57,37.95
ايلام,سرابله,46.56,33.77
سیستان و بلوچستان,سراوان,62.58,27.4
سيستان و بلوچستان,سرباز,61.27,26.63
خراسان جنوبی,سربیشه,59.8,32.57
خراسان رضوي,سرخس,61.17,36.54
آذربايجان غربي ,سردشت,45.53,36.15
کردستان,سروآباد,46.34,35.32
كرمانشاه,سقز,46.28,36.23
آذربايجان غربي ,سلماس,44.75,38.18
سمنان,سمنان,53.38,35.55
اصفهان,سمیرم,51.57,31.42
كرمانشاه,سنقر,47.6,34.78
كردستان,سنندج,47.02,35.3
خوزستان,سوسنگرد,48.17,31.55
کهگیلویه و بویراحمد,سی سخت,51.46,30.85
گیلان,سیاهکل,49.87,37.15
كرمان,سیرجان,55.73,29.47
خوزستان,شادگان,48.67,30.65
مركزي,شازند,49.41,33.93
سمنان,شاهرود,54.97,36.42
اصفهان,شاهین دژ,46.55,36.67
اصفهان,شاهین شهر,51.54,32.81
آذربایجان شرقی,شبستر,45.7,38.18
گيلان,شفت,49.4,37.17
خوزستان,شوش,48.24,32.19
خوزستان,شوشتر,48.83,32.05
کرمان,شهر بابک,55.15,30.13
چهارمحال و بختياري,شهر کرد,50.85,32.32
اصفهان,شهرضا,51.87,32.02
البرز,شهریار,51.06,35.66
فارس,شیراز,52.57,29.63
خراسان شمالی,شیروان,57.92,37.45
كرمانشاه,صحنه,47.69,34.48
فارس,صفاشهر,53.19,30.61
گیلان,صومعه سرا,49.32,37.28
يزد,طبس,56.92,33.6
آذربایجان شرقی,عجبشیر,45.91,37.48
چهارمحال و بختياري,فارسان,50.57,32.27
خراسان شمالي,فاروج,58.22,37.23
گلستان,فاضل آباد,54.75,36.9
چهارمحال و بختياري,فرخشهر,50.98,32.27
خراسان جنوبی,فردوس,58.17,34.02
مازندران,فریدون کنار,52.53,36.68
اصفهان,فریدونشهر,50.12,32.93
خراسان رضوی,فریمان,59.88,35.72
فارس,فسا,53.68,28.97
اصفهان,فلاورجان,51.49,32.57
اصفهان,فولادشهر,51.38,32.43
گیلان,فومن,49.29,37.23
فارس,فیروزآباد,52.6,28.87
تهران,فیروزکوه,52.78,35.76
مازندران,قائمشهر,52.87,36.47
خراسان جنوبی,قائن,59.18,33.73
تهران,قرچک,51.58,35.42
كردستان,قروه,47.8,35.17
آذربایجان غربی ,قره ضیاءالدین,45.03,38.88
قزوین,قزوین,50,36.27
هرمزگان,قشم,56.2,26.95
كرمانشاه,قصر شیرین,45.57,34.51
قم,قم,50.95,34.65
خراسان رضوی,قوچان,58.5,37.12
اصفهان,قهدریجان,51.45,32.57
فارس,کازرون,51.67,29.6
اصفهان,کاشان,51.58,33.98
خراسان رضوی,کاشمر,58.45,35.18
كردستان,کامیاران,46.94,34.8
همدان,کبودرآهنگ,48.72,35.21
مازندران,کجور,51.74,36.39
البرز,کرج,50.97,35.8
گلستان,کردکوی,54.12,36.8
كرمان,کرمان,57.08,30.3
كرمانشاه,کرمانشاه,47.06,34.38
خراسان رضوی,کلات نادری,59.77,37
گلستان,کلاله,55.5,37.39
آذربایجان شرقی,کلیبر,47.04,38.86
اصفهان,کلیشاد,51.55,32.54
بوشهر,کنگان,52.07,27.83
كرمانشاه,کنگاور,47.95,34.5
لرستان,کوهدشت,47.6,33.53
كرمان,کهنوج,57.7,27.87
فارس,گراش,54.1,27.67
گلستان,گرگان,54.48,36.83
سمنان,گرمسار,52.33,35.22
اردبیل,گرمی,48.05,39.02
